Kod_Waluty,Kurs_Sredni,Data
THB,0.1152,2025-12-23
USD,3.5848,2025-12-23
AUD,2.3992,2025-12-23
HKD,0.4609,2025-12-23
CAD,2.6162,2025-12-23
NZD,2.0929,2025-12-23
SGD,2.7902,2025-12-23
EUR,4.2274,2025-12-23
HUF,0.010807,2025-12-23
CHF,4.5473,2025-12-23
GBP,4.8416,2025-12-23
UAH,0.0851,2025-12-23
JPY,0.02299,2025-12-23
CZK,0.1737,2025-12-23
DKK,0.5659,2025-12-23
ISK,0.028602,2025-12-23
NOK,0.3557,2025-12-23
SEK,0.3902,2025-12-23
RON,0.8309,2025-12-23
BGN,2.1614,2025-12-23
TRY,0.0834,2025-12-23
ILS,1.1223,2025-12-23
CLP,0.003942,2025-12-23
PHP,0.0609,2025-12-23
MXN,0.1997,2025-12-23
ZAR,0.2151,2025-12-23
BRL,0.6411,2025-12-23
MYR,0.8823,2025-12-23
IDR,0.00021376,2025-12-23
INR,0.03998,2025-12-23
KRW,0.00242,2025-12-23
CNY,0.51,2025-12-23
XDR,4.9701,2025-12-23
